epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,228.18,0.56712,0.85021,1.3234,0.93733,0.85498,1,0.995,0.88454,0.85498,1,0.995,0.93453,0.52135,0.96127,1.55837,0.88667,0.0046923,0.0006923,0.0006923
32,234.983,0.53003,0.63566,1.16227,0.85374,0.85498,1,0.995,0.88454,0.85498,1,0.995,0.93453,0.52135,0.96127,1.55837,0.88667,0.00320704,0.000707038,0.000707038
33,241.699,0.45324,0.68796,1.1944,0.84616,0.87196,0.99996,0.995,0.91789,0.87196,0.99996,0.995,0.93804,0.40866,0.41202,1.42995,0.86214,0.00172128,0.00072128,0.00072128
34,248.763,0.52361,0.79946,1.1265,0.8617,0.87196,0.99996,0.995,0.91789,0.87196,0.99996,0.995,0.93804,0.40866,0.41202,1.42995,0.86214,0.00072775,0.00072775,0.00072775
35,255.941,0.5298,0.61577,1.29921,0.90409,0.87196,0.99996,0.995,0.91789,0.87196,0.99996,0.995,0.93804,0.40866,0.41202,1.42995,0.86214,0.0007195,0.0007195,0.0007195
36,263.073,0.57776,0.98194,1.183,0.90266,0.88216,0.98856,0.995,0.91593,0.88216,0.98856,0.995,0.97665,0.43936,0.31884,1.23904,0.86878,0.00071125,0.00071125,0.00071125
37,270.236,0.52631,0.84489,1.1115,0.88434,0.88216,0.98856,0.995,0.91593,0.88216,0.98856,0.995,0.97665,0.43936,0.31884,1.23904,0.86878,0.000703,0.000703,0.000703
38,277.394,0.44492,0.91179,1.21549,0.90342,0.88216,0.98856,0.995,0.91593,0.88216,0.98856,0.995,0.97665,0.43936,0.31884,1.23904,0.86878,0.00069475,0.00069475,0.00069475
39,284.691,0.57133,0.84939,1.09944,0.89259,0.80992,0.92375,0.995,0.90303,0.80992,0.92375,0.995,0.95648,0.52984,0.32484,1.41806,0.90027,0.0006865,0.0006865,0.0006865
40,292.032,0.5934,0.92396,1.20165,0.91965,0.80992,0.92375,0.995,0.90303,0.80992,0.92375,0.995,0.95648,0.52984,0.32484,1.41806,0.90027,0.00067825,0.00067825,0.00067825
41,299.243,0.52243,0.69115,1.16461,0.90104,0.95776,0.78848,0.995,0.91409,0.95776,0.78848,0.995,0.96745,0.42071,0.32154,1.39766,0.8773,0.00067,0.00067,0.00067
42,306.356,0.51139,0.74277,1.0985,0.87456,0.95776,0.78848,0.995,0.91409,0.95776,0.78848,0.995,0.96745,0.42071,0.32154,1.39766,0.8773,0.00066175,0.00066175,0.00066175
43,313.384,0.4677,0.76763,1.06756,0.87397,0.95776,0.78848,0.995,0.91409,0.95776,0.78848,0.995,0.96745,0.42071,0.32154,1.39766,0.8773,0.0006535,0.0006535,0.0006535
44,320.514,0.41819,0.5652,1.09813,0.82799,0.87809,0.98665,0.995,0.91592,0.87809,0.98665,0.995,0.98403,0.37891,0.29617,1.08487,0.86588,0.00064525,0.00064525,0.00064525
45,327.665,0.48615,0.66343,1.02947,0.86066,0.87809,0.98665,0.995,0.91592,0.87809,0.98665,0.995,0.98403,0.37891,0.29617,1.08487,0.86588,0.000637,0.000637,0.000637
46,335.178,0.5384,0.68971,1.11398,0.89164,0.87809,0.98665,0.995,0.91592,0.87809,0.98665,0.995,0.98403,0.37891,0.29617,1.08487,0.86588,0.00062875,0.00062875,0.00062875
47,342.483,0.4902,0.82737,1.00092,0.88447,0.97138,1,0.995,0.91964,0.97138,1,0.995,0.995,0.38305,0.28173,0.86027,0.86857,0.0006205,0.0006205,0.0006205
48,349.71,0.54316,0.8525,1.10389,0.86931,0.97138,1,0.995,0.91964,0.97138,1,0.995,0.995,0.38305,0.28173,0.86027,0.86857,0.00061225,0.00061225,0.00061225
49,356.772,0.50259,0.60955,1.11775,0.87513,0.97619,1,0.995,0.93428,0.97619,1,0.995,0.98403,0.39306,0.25654,0.81464,0.86404,0.000604,0.000604,0.000604
50,363.939,0.46223,0.58739,0.92858,0.88986,0.97619,1,0.995,0.93428,0.97619,1,0.995,0.98403,0.39306,0.25654,0.81464,0.86404,0.00059575,0.00059575,0.00059575
51,371.369,0.48865,0.77593,1.05219,0.91139,0.97619,1,0.995,0.93428,0.97619,1,0.995,0.98403,0.39306,0.25654,0.81464,0.86404,0.0005875,0.0005875,0.0005875
52,378.314,0.47982,1.03255,1.07527,0.88796,0.96181,1,0.995,0.91769,0.96181,1,0.995,0.98403,0.44024,0.2384,0.82186,0.86977,0.00057925,0.00057925,0.00057925
53,385.142,0.46191,0.59727,0.97203,0.87069,0.96181,1,0.995,0.91769,0.96181,1,0.995,0.98403,0.44024,0.2384,0.82186,0.86977,0.000571,0.000571,0.000571
54,391.792,0.53558,0.81675,1.11954,0.85048,0.96181,1,0.995,0.91769,0.96181,1,0.995,0.98403,0.44024,0.2384,0.82186,0.86977,0.00056275,0.00056275,0.00056275
55,398.57,0.45591,0.68218,1.05595,0.86135,0.95559,1,0.995,0.89925,0.95559,1,0.995,0.98036,0.45679,0.23923,0.82499,0.87063,0.0005545,0.0005545,0.0005545
56,405.547,0.46762,0.70551,0.96982,0.89172,0.95559,1,0.995,0.89925,0.95559,1,0.995,0.98036,0.45679,0.23923,0.82499,0.87063,0.00054625,0.00054625,0.00054625
57,412.768,0.46652,0.77244,1.04082,0.87004,0.97621,1,0.995,0.90111,0.97621,1,0.995,0.97664,0.43474,0.25339,0.78387,0.86561,0.000538,0.000538,0.000538
58,419.737,0.42921,0.58018,0.91001,0.85412,0.97621,1,0.995,0.90111,0.97621,1,0.995,0.97664,0.43474,0.25339,0.78387,0.86561,0.00052975,0.00052975,0.00052975
59,426.804,0.5235,0.75003,1.02261,0.87981,0.97621,1,0.995,0.90111,0.97621,1,0.995,0.97664,0.43474,0.25339,0.78387,0.86561,0.0005215,0.0005215,0.0005215
60,433.709,0.44699,0.75952,0.94019,0.86485,0.98103,1,0.995,0.90111,0.98103,1,0.995,0.995,0.42379,0.26271,0.79369,0.86654,0.00051325,0.00051325,0.00051325
61,440.878,0.46301,0.79811,0.96461,0.85835,0.98103,1,0.995,0.90111,0.98103,1,0.995,0.995,0.42379,0.26271,0.79369,0.86654,0.000505,0.000505,0.000505
62,447.753,0.47118,0.81648,0.99497,0.87573,0.98103,1,0.995,0.90111,0.98103,1,0.995,0.995,0.42379,0.26271,0.79369,0.86654,0.00049675,0.00049675,0.00049675
63,455.051,0.476,0.88161,0.95778,0.91498,0.97487,1,0.995,0.89925,0.97487,1,0.995,0.97664,0.43598,0.27872,0.79461,0.86842,0.0004885,0.0004885,0.0004885
64,462.222,0.44348,0.52806,0.92016,0.8819,0.97487,1,0.995,0.89925,0.97487,1,0.995,0.97664,0.43598,0.27872,0.79461,0.86842,0.00048025,0.00048025,0.00048025
65,468.968,0.42972,0.52671,1.04325,0.86514,0.98041,1,0.995,0.89925,0.98041,1,0.995,0.98036,0.42434,0.27705,0.76654,0.86641,0.000472,0.000472,0.000472
66,476.227,0.4886,0.61558,1.00658,0.85539,0.98041,1,0.995,0.89925,0.98041,1,0.995,0.98036,0.42434,0.27705,0.76654,0.86641,0.00046375,0.00046375,0.00046375
67,483.268,0.42173,0.52847,0.88086,0.8428,0.98041,1,0.995,0.89925,0.98041,1,0.995,0.98036,0.42434,0.27705,0.76654,0.86641,0.0004555,0.0004555,0.0004555
68,490.301,0.45227,0.67969,0.89721,0.8579,0.98317,1,0.995,0.91403,0.98317,1,0.995,0.96833,0.38343,0.25427,0.77072,0.86071,0.00044725,0.00044725,0.00044725
69,497.405,0.4523,0.73861,0.91569,0.90083,0.98317,1,0.995,0.91403,0.98317,1,0.995,0.96833,0.38343,0.25427,0.77072,0.86071,0.000439,0.000439,0.000439
70,504.708,0.41947,0.63596,0.86899,0.85679,0.98317,1,0.995,0.91403,0.98317,1,0.995,0.96833,0.38343,0.25427,0.77072,0.86071,0.00043075,0.00043075,0.00043075
71,511.343,0.47409,0.60461,0.97306,0.87758,0.98628,1,0.995,0.92145,0.98628,1,0.995,0.96745,0.35141,0.24978,0.7338,0.85864,0.0004225,0.0004225,0.0004225
72,518.568,0.45448,0.63019,0.90933,0.85613,0.98628,1,0.995,0.92145,0.98628,1,0.995,0.96745,0.35141,0.24978,0.7338,0.85864,0.00041425,0.00041425,0.00041425
73,525.666,0.43684,0.67719,0.84421,0.87998,0.98415,1,0.995,0.92146,0.98415,1,0.995,0.96745,0.34153,0.2431,0.70587,0.85719,0.000406,0.000406,0.000406
74,532.769,0.45587,0.90147,0.86253,0.94291,0.98415,1,0.995,0.92146,0.98415,1,0.995,0.96745,0.34153,0.2431,0.70587,0.85719,0.00039775,0.00039775,0.00039775
